찬송가,새찬송가,찬송가 제목,새찬송가 제목,조표,박자,작곡자,속도
448,447,이 세상 끝날까지,이 세상 끝날까지,1#,4월 4일,A.H.Mann,보통으로
449,394,이 세상의 친구들,이 세상의 친구들,4b,4월 4일,A.A.Luther,보통으로
450,395,자비하신 예수여,자비하신 예수여,0,3월 4일,J.P.Holbrook,조금느리게
451,377,전능하신 여호와여,전능하신 주 하나님,1#,4월 4일,J.Hughes,조금빠르게
452,81,주는 귀한 보배,주는 귀한 보배,3b,4월 4일,J.Cruger,보통으로
453,570,주는 나를 기르시는 목자,주는 나를 기르시는 목자,1#,4월 4일,장수철,보통으로
454,397,주 사랑 안에 살면,주 사랑 안에 살면,3b,4월 4일,Harm.by D.Evans,보통으로
455,370,주 안에 있는 나에게,주 안에 있는 나에게,1#,6월 8일,W.J.Kirkparick,보통으로
456,430,주와 같이 길 가는 것,주와 같이 길 가는 것,3b,4월 4일,A.B.Simpson,조금빠르게
457,401,주의 곁에 있을 때,주의 곁에 있을 때,0,4월 4일,F.M.Davis,보통으로
458,405,주의 친절한 팔에 안기세,주의 친절한 팔에 안기세,4b,4월 4일,A.J.Showalter,조금빠르게
459,,지금까지 지내 온 것,지금까지 지내 온 것,2#,3월 4일,J.Wyeth,92
460,301,지금까지 지내 온 것,지금까지 지내 온 것,3b,3월 4일,박재훈,보통으로
461,345,캄캄한 밤 사나온 바람 불 때,캄캄한 밤 사나운 바람 불 때,4#,6월 8일,이동훈,보통으로
462,432,큰 물결이 설레는 어둔 바다,큰 물결이 설레는 어둔 바다,3b,6월 4일,W.S.Nickel,보통으로
463,400,험한 시험 물속에서,험한 시험 물속에서,1b,4월 4일,C.Fisher,보통으로
464,406,곤한 내 영혼 편히 쉴 곳과,곤한 내 영혼 편히 쉴 곳과,4b,4월 4일,L.N.Morris,보통으로
465,407,구주와 함께 나 죽었으니,구주와 함께 나 죽었으니,1b,3월 4일,M.W.Moody,조금빠르게
466,408,나 어느 곳에 있든지,나 어느 곳에 있든지,1#,3월 4일,L.O.Brown,보통으로
467,,내게로 와서 쉬어라,내게로 와서 쉬어라,3b,6월 8일,Arr. B. B. Mckinney,48
468,410,내 맘에 한 노래 있어,내 맘에 한 노래 있어,4b,6월 8일,P.P.Bilhorn,보통으로
469,412,내 영혼의 그윽히 깊은 데서,내 영혼의 그윽히 깊은 데서,4b,6월 8일,W.G.Cooper,보통으로
470,413,내 평생에 가는 길,내 평생에 가는 길,5b,4월 4일,P.P.Bliss,조금빠르게
471,415,십자가 그늘 밑에,십자가 그늘 아래,5b,4월 4일,F.C.Masker,보통으로
472,,영광스럽도다 참된 평화는,영광스럽도다 참된 평화는,1b,4월 4일,J.Mountain,100
473,411,아 내 맘속에,아 내 맘속에,2#,3월 4일,A.S.Murphy,조금빠르게
474,486,이 세상에 근심된 일이 많고,이 세상에 근심된 일이 많고,1#,6월 4일,G.D.Moore,보통으로
475,414,이 세상은 요란하나,이 세상은 요란하나,1b,4월 4일,J.E.Sweeter,보통으로
476,417,주 예수 넓은 품에,주 예수 넓은 품에,1#,4월 4일,W.H.Doane,조금빠르게
477,404,바다에 놀이 치는 때,바다에 놀이 일 때에,3b,3월 4일,J.B.Dykes,보통으로
478,419,주 날개 밑 내가 편안히 쉬네,주 날개 밑 내가 편히 쉬네,0,6월 4일,I.D.Sankey,보통으로
479,363,내가 깊은 곳에서,내가 깊은 곳에서,0,3월 4일,D.S.Bortniansky,보통으로
480,361,기도하는 이 시간,기도하는 이 시간,3b,3월 4일,W.H.Doane,보통으로
481,362,주여 복을 주시기를,주여 복을 주시기를,4b,6월 8일,W.B.Bradbury,보통으로
482,364,내 기도하는 그 시간,내 기도하는 그 시간,5b,6월 8일,W.B.Bradbury,보통으로
483,539,너 예수께 조용히 나가,너 예수께 조용히 나가,3b,6월 8일,W.J.Kirkparick,보통으로
484,365,마음속에 근심 있는 사람,마음속에 근심 있는 사람,2b,4월 4일,E.S.Lorenz,조금빠르게
485,485,어두운 내 눈 밝히사,어두운 내 눈 밝히사,4b,6월 8일,C.H.Scott,보통으로
486,368,주 예수여 은혜를,주 예수여 은혜를,3b,6월 4일,신증복음가,보통으로
487,369,죄짐 맡은 우리 구주,죄 짐 맡은 우리 구주,1b,4월 4일,C.C.Converse,보통으로
488,488,내 영혼에 햇빛 비치니,내 영혼에 햇빛 비치니,4b,4월 4일,J.R.Sweney,112
489,429,세상 모든 풍파 너를 흔들어,세상 모든 풍파 너를 흔들어,3b,2월 4일,E.O.Excell,조금빠르게
490,433,귀하신 주여 날 붙드사,귀하신 주여 날 붙드사,5b,4월 4일,L.N.Morris,조금느리게
491,434,귀하신 친구 내게 계시니,귀하신 친구 내게 계시니,4b,4월 4일,Arr.A.B.Smith,보통으로
492,435,나의 영원하신 기업,나의 영원하신 기업,1#,3월 4일,S.J.Vail,보통으로
493,436,나 이제 주님의 새 생명 얻은 몸,나 이제 주님의 새 생명 얻은 몸,1b,3월 4일,박태준,보통으로
494,,나 죄 중에 헤매어,나 죄 중에 해매며,2b,6월 8일,C.H.Gabriel,52
495,438,내 영혼이 은총 입어,내 영혼이 은총 입어,4b,3월 4일,J.M.Black,보통으로
496,439,십자가로 가까이,십자가로 가까이,1b,6월 8일,W.H.Doane,조금느리게
497,440,어디든지 예수 나를 이끌면,어디든지 예수 나를 이끌면,0,6월 8일,D.B.Towner,보통으로
498,441,은혜 구한 내게 은혜의 주님,은혜 구한 내게 은혜의 주님,1b,6월 8일,A.B.Simpson,보통으로
499,442,저 장미꽃 위에 이슬,저 장미꽃 위에 이슬,4b,6월 8일,C.A.Miles,보통으로
500,446,주 음성 외에는,주 음성 외에는,4b,3월 4일,R.Lowry,보통으로
501,,주의 십자가 있는 데,주의 십자가 있는 데,0,6월 8일,P.P.Knapp,69
502,445,태산을 넘어 험곡에 가도,태산을 넘어 험곡에 가도,1#,9월 8일,G.H.Cook,보통으로
503,373,고요한 바다로,고요한 바다로,3b,3월 4일,A.Chapin,조금느리게
504,451,예수 영광 버리사,예수 영광 버리사,1b,4월 4일,U.C.Burmap,보통으로
505,452,내 모든 소원 기도의 제목,내 모든 소원 기도의 제목,2#,3월 4일,W.J.Kirkparick,보통으로
506,453,예수 더 알기 원함은,예수 더 알기 원하네,4b,6월 8일,J.R.Sweney,보통으로
507,455,주님의 마음을 본받는 자,주님의 마음을 본받는 자,2b,6월 4일,C.H.Gabriel,보통으로
508,454,주와 같이 되기를,주와 같이 되기를,2#,4월 4일,J.B.Dykes,보통으로
509,456,거친 세상에서 실패하거든,거친 세상에서 실패하거든,1b,4월 4일,B.B.Mckinney,보통으로
510,457,겟세마네 동산의,겟세마네 동산의,2b,3월 4일,T.Hastings,조금느리게
511,314,내 구주 예수를 더욱 사랑,내 구주 예수를 더욱 사랑,4b,4월 4일,W.H.Doane,보통으로
512,315,내 주되신 주를 참 사랑하고,내 주되신 주를 참 사랑하고,1b,4월 4일,A.J.Gordon,보통으로
513,458,너희 마음에 슬픔이 가득 차고,너희 마음에 슬픔이 가득할 때,4b,6월 8일,C.H.Gabriel,보통으로
514,459,누가 주를 따라,누가 주를 따라,2b,4월 4일,C.Reichadt,보통으로
515,460,뜻 없이 무릎 꿇는,뜻 없이 무릎 꿇는,2b,4월 4일,from D.Evans'Hymu,보통으로
516,427,맘 가난한 사람,맘 가난한 사람,4b,3월 4일,l.Mason,보통으로
517,462,생명 진리 은혜 되신,생명 진리 은혜 되신,1#,4월 4일,Traditional Dutch ,조금빠르게
518,463,신자 되기 원합니다,신자 되기 원합니다.,3b,4월 4일,Traditional Spirtual,보통으로
519,461,십자가를 질 수 있나,십자가를 질 수 있나,4b,4월 4일,H.S.Mason,보통으로
520,,주의 귀한 말씀을,주의 귀한 말씀을,1b,3월 4일,Har.R.V.Willams,108
521,586,어느 민족 누구게나,어느 민족 누구게나,4b,4월 2일,T.J.Willams,조금느리게
522,,주님이 가신 섬김의 길은,주님이 가신 섬김의 길은,1#,4월 4일,C.H.Laufer,108
523,465,나 형제를 늘 위해,주 믿는 나 남 위해,1b,4월 4일,J.Y.Peek,보토으
524,222,우리 다시 만날 때까지,우리 다시 만날 때까지,0,4월 4일,W.G.Tomer,보통으로
525,221,주 믿는 형제들,주 믿는 형제들,1b,3월 4일,J.K.G.Nageli,보통으로
526,,주 예수 안에 동서나,주 예수 안에 동서나,3b,4월 4일,A.R.Reinagle,96
527,,큰 은혜로 묶어주신,큰 은혜로 묶어 주신,4,3월 4일,S.B.Pond,108
528,471,주여 나의 병든 몸을,주여 나의 병든 몸을,4b,3월 4일,신증복음가,보통으로
529,,큰 무리 주를 에워싼 중에,큰 무리 주를 에워싼 중에,2#,6월 8일,G.F.Root,63
530,472,네 병든 손 내밀라고,네 병든 손 내밀라고,0,3월 4일,A.B.Simpson,보통으로
531,481,때 저물어 날 이미 어두니,때 저 물어 날 이미 어두니,3b,4월 4일,W.H.Monk,보통으로
532,483,구름 같은 이 세상,구름 같은 이 세상,4b,3월 4일,F.M.Davis,보통으로
533,484,내맘의 주여 소망되소서,내 맘의 주여 소망 되소서,3b, 3/4,Ttaditional Irish,보통으로
534,485,세월이 흘러가는데,세월이 흘러가는데,1#,3월 4일,G.F.Root,조금느리게
535,487,어두움 후에 빛이 오며,어두움 후에 빛이 오며,5b,3월 4일,I.D.Sankey,보통으로
536,,이 곤한 인생이,이 곤한 인생이,3b,3월 4일,A.Chapin,92
537,,엄동설한 지나가면,엄동설한 지나가면,1b,2월 4일,A.F.Harrison,104
538,,예루살렘 금성아,예루살렘 금성아,0,4월 4일,A.Ewing,104
539,488,이 몸의 소망 무엔가,이 몸의 소망 무엔가,1b,3월 4일,W.B.Bradbury,조금빠르게
540,,이 세상 지나가고,이 세상 지나고,1b,4월 4일,Arr. E.F.Rombault,96
541,489,저 요단강 건너편에,저 요단강 건너편에,2b,4월 4일,G.C.Tullar,96
542,490,주여 지난 밤 내 꿈에,주여 지난 밤 내 꿈에,4b,6월 8일,C.H.Gabriel,조금느리게
543,491,저 높은 곳을 향하여,저 높은 곳을 향하여,4b,3월 4일,C.H.Gabriel,보통으로
544,492,잠시 세상에 내가 살면서,잠시 세상에 내가 살면서,4b,4월 4일,C.H.Gabriel,보통으로
545,493,하늘가는 밝은 길이,하늘 가는 밝은 길이,0,4월 4일,Lady J.Scoot,조금느리게
546,,주 성전 안에 계시도다,주 성전 안에 계시도다,0,4월 4일,C.W.Laufer,96
547,630,진리와 생명 되신 주,진리와 생명 되신 주,4b,3월 4일,H.Westwood,보통으로
548,636,주 기도문 영창,하늘에 계신(주기도문),1b,4월 4일,L.T.Downes,보통으로
549,631,우리 기도를,우리 기도를,2#,4월 4일,G.Whelpton,104
550,550,주 너를 지키시고,주 너를 지키시고,0,4월 4일,P.C.Lukin,보통으로
551,,아멘,아멘,1#,4월 4일,Anoymous,
552,641,두번 아멘,아멘,1b,4월 4일,V.D.Thopson,보통으로
553,,두번 아멘,두 번 아멘,0,4월 4일,Dresden,
554,640,두번 아멘,아멘,1#,4월 4일,Greek,보통으로
555,643,세번 아멘,아멘,4b,4월 4일,Danish,보통으로
556,,세번 아멘,세 번 아멘,3b,4월 4일,Anoymous,
557,644,네번 아멘,아멘,1#,4월 4일,J.Stainer,보통으로
558,645,일곱번 아멘,아멘,3#,4월 4일,J.Stainer,보통으로
700,,뚝딱뚝딱 노아 할아버지,,,,,보통으로
701,,영원 전부터 계시는 주님,,,,백승남,보통으로
,7,,성부 성자 성령,2#,2월 4일,J.E.Erickson,보통으로
,11,,홀로 한 분 하나님께,1b,3월 4일,김두완,보통으로
,13,,영원한 하늘나라,2#,4월 4일,김의작,보통으로
,16,,은혜로신 하나님 우리 주 하나님,2#,4월 4일,공석준,보통으로
,17,,사랑의 하나님,3b,3월 4일,박재훈,보통으로
,18,,성도들아 찬양하자,3b,4월 4일,이중화,보통으로
,77,,거룩하신 하나님,4b,4월 4일,김성은,보통으로
,24,,왕 되신 주,1b,4월 4일,W. churchill,보통으로
,30,,전능하고 놀라우신,1b,4월 4일,B.B.Mckinney,보통으로
,38,,예수 우리 왕이여,4b,2월 2일,P.Kyle,보통으로
,41,,내 영혼아 주 찬양하여라,2#,4월 4일,,보통으로
,76,,창조의 주 아버지께,1#,3월 4일,김정일,보통으로
,45,,거룩한 주의 날,4b,6월 8일,나인용,보통으로
,47,,하늘이 푸르고,3b,6월 8일,김규태,조금느리게
,48,,거룩하신 주 하나님,1b,3월 4일,문성모,보통으로
,57,,오늘 주신 말씀에,1#,4월 4일,김정일,조금빠르게
,61,,우리가 기다리던,1#,4월 4일,김두완,보통으로
,62,,고요히 머리 숙여,3b,3월 4일,곽상수,보통으로
,63,,주가 세상을 다스리시니,3#,4월 4일,E. Gebhadt,보통으로
,72,,만왕의 왕 앞에 나오라,3#,4월 4일,K.H.Melody,보통으로
,51,,주님 주신 거룩한 날,3b,6월 8일,김영준,보통으로
,52,,거룩하신 나의 하나님,3b,3월 4일,백효죽,보통으로
,97,,정혼한 처녀에게,2b,4월 4일,R. Edwards,보통으로
,98,,예수님 오소서,4b,3월 4일,이천진,보통으로
,99,,주님 앞에 떨며 서서,1b,2월 2일,French Carol,보통으로
,100,,미리암과 여인들이,1b,3월 4일,황의구,보통으로
,103,,우리 주님 예수께,0,4월 4일,F. G. Gesanbuch,보통으로
,106,,아기 예수 나셨네,1b,2월 4일,French Carol,보통으로
,107,,거룩한 밤 복된 이 밤,2#,4월 4일,Q. Shy,보통으로
,110,,고요하고 거룩한 밤,1#,4월 4일,장수철,조금빠르게
,113,,저 아기 잠들었네,1#,6월 8일,English Ballard,보통으로
,123,,저 들 밖에 한밤중에,2#,3월 4일,W. Sandy,보통으로
,124,,양 지키는 목자여,1b,4월 4일,J. Parry,보통으로
,127,,그 고요하고 쓸쓸한,2b,4월 4일,French Carol,조금느리게
,128,,거룩하신 우리 주님,1#,3월 4일,Polish Carol,보통으로
,129,,마리아는 아기를,1#,2월 2일,P. Cantions,보통으로
,136,,가나의 혼인 잔치,2#,4월 4일,박정화,보통으로
,137,,하나님의 아들이,1b,6월 8일,한정희,보통으로
,142,,시온에 오시는 주,1b,3월 4일,김종덕,보통으로
,152,,귀하신 예수,2b,4월 4일,J.Cruger,보통으로
,153,,가시면류관,1#,6월 8일,나운영,조금느리게
,155,,십자가 지고,4b,3월 4일,이문승,보통으로
,156,,머리에 가시관 붉은 피 흐르는,2b,3월 4일,황철익,보통으로
,157,,겟세마네 동산에서 최후기도,1#,6월 8일,김정양,조금느리게
,158,,서쪽 하늘 붉은 노을,1b,9월 8일,김남수,보통으로
,169,,사망의 권세가,1b,4월 4일,T.Colvin,보통으로
,171,,하나님의 독생자,4b,4월 4일,W.J.Gaither,보통으로
,173,,다 함께 찬송부르자,0,2월 2일,이동일,보통으로
,178,,주 예수 믿는 자여,1#,4월 4일,박정선,보통으로
,181,,부활 승천하신 주께서,4#,4월 4일,나운영,보통으로
,192,,임하소서 임하소서,2#,4월 4일,임우상,보통으로
,193,,성령의 바람 불어오니,3b,6월 8일,이문승,보통으로
,194,,저 하늘 거룩하신 주여,3b,4월 4일,S.D.Pesen,보통으로
,253,,그 자비하신 주님,4b,4월 4일,F.K.Anthes,보통으로
,256,,나의 죄 지신 주님,1b,3월 4일,오소운,보통으로
,422,,거룩하게 하소서,3b,6월 8일,이귀자,보통으로
,271,,나와 같은 죄인 위해,1b,4월 4일,구두회,보통으로
,541,,꽃이 피는 봄날에만,1b,6월 8일,김국진,보통으로
,547,,나 같은 죄인까지도,1#,4월 4일,주성희,보통으로
,548,,날 구속하신,1b,4월 4일,G.Psalter,보통으로
,244,,구원 받은 천국의 성도들,1#,4월 4일,R.V.Williams,보통으로
,247,,보아라 저 하늘에,2b,4월 4일,하재은,보통으로
,248,,언약의 주 하나님,1b,4월 4일,정희치,보통으로
,238,,해지는 저편,3b,4월 4일,B.K.Brock,보통으로
,206,,주님의 귀한 말씀은,1b,4월 4일,임석인,보통으로
,203,,하나님의 말씀은,3b,6월 8일,이천진,보통으로
,599,,우리의 기도 들어주시옵소서,1b,4월 2일,Antiphoner,조금느리게
,553,,새해 아침 환히 밝았네,3b,4월 4일,명정훈,조금빠르게
,583,,이 민족에 복음을,3b,3월 4일,임준희,보통으로
,584,,우리나라 지켜주신,3b,4월 4일,백태현,보통으로
,517,,가난한 자 돌봐주며,1#,6월 8일,김국진,보통으로
,506,,땅끝까지 복음을,2b,4월 4일,김정일,조금빠르게
,513,,헛된 욕망 길을 가며,2#,4월 4일,Gabriel Chi,보통으로
,514,,먼동튼다 일어나라,4b,3월 4일,박영주,보통으로
,476,,꽃이 피고 새가우는,3b,6월 8일,주성희,조금빠르게
,477,,하나님이 창조하신,3b,3월 4일,김승호,보통으로
,224,,정한 물로 우리 죄를,1b,3월 2일,R.A.Nelson,보통으로
,226,,성령으로 세례받아,1#,4월 4일,H.J.Gauntlett,보통으로
,230,,우리의 참된 구주시니,2#,0,B.Plainsong,보통으로
,231,,우리 다 같이 무릎 꿇고서,3b,4월 4일,Arr M.W.Costen,보통으로
,233,,자비로 그 몸 찢기시고,3b,3월 4일,J.S.B.Hodges,보통으로
,601,,하나님이 정하시고,1b,6월 8일,조은옥,보통으로
,603,,태초에 하나님이,3b,6월 8일,김은석,보통으로
,611,,주님 오라 부르시어,1b,3월 4일,정재규,보통으로
,612,,이 땅에서 주를 위해,1b,3월 4일,최종진,보통으로
,613,,사랑의 주 하나님,3b,6월 8일,박영근,보통으로
,614,,얼마나 아프셨나,1b,3월 4일,김성혜,보통으로
,609,,이 세상 살 때에,2b,3월 4일,홍권옥,보통으로
,571,,역사 속에 보냄 받아,1#,3월 4일,이한응,조금느리게
,572,,바다 같이 넓은 은혜,3b,3월 4일,윤학원,보통으로
,573,,말씀에 순종하여,2b,4월 4일,유병용,조금빠르게
,576,,하나님의 뜻을 따라,3b,6월 8일,한태근,보통으로
,577,,낳으시고 길러주신,3b,3월 4일,이관섭,보통으로
,578,,언제나 바라봐도,1b,4월 4일,박재훈,보통으로
,555,,우리 주님 모신 가정,1b,4월 4일,박정선,보통으로
,556,,날마다 주님을 의지하는,1#,6월 8일,문성모,보통으로
,557,,에덴의 동산처럼,3b,6월 8일,임순미,보통으로
,558,,미더워라 우리 가정,3b,3월 4일,곽상수,보통으로
,560,,주의 발자취를 따름이,2#,4월 4일,G.C.Tullar,조금빠르게
,561,,예수님의 사랑은,1b,2월 4일,박재훈,조금느리게
,562,,예루살렘 아이들,2#,2월 2일,Curwen's Tune,보통으로
,568,,하나님은 나의 목자시니,3b,4월 4일,이일래,보통으로
,594,,감사하세 찬양하세,1b,6월 8일,김은석,보통으로
,533,,우리 주 십자가,3b,3월 4일,R.D.Baker,보통으로
,281,,요나처럼 순종 않고,1b,3월 4일,김홍규,보통으로
,318,,순교자의 흘린 피가,1#,3월 4일,하재은,보통으로
,319,,말씀으로 이 세상을,0,6월 8일,박,보통으로
,581,,주 하나님이 나라를 지켜주시고,3b,6월 8일,신영순,보통으로
,596,,영광은 주님 홀로,1b,6월 8일,박정,보통으로
,332,,우리는 부지런한,1b,6월 8일,이영수,보통으로
,334,,위대하신 주를,1b,4월 4일,B.J.Leech,보통으로
,335,,크고 놀라운 평화가,1b,6월 8일,H.Lillenas,보통으로
,306,,죽을 죄인 살려주신,2b,4월 4일,허방자,보통으로
,307,,소리 없이 보슬보슬,3b,9월 8일,나인용,보통으로
,308,,내 평생 살아온길,2#,3월 4일,김성혜,보통으로
,296,,죄인 구원하시려고,3b,3월 4일,김순애,보통으로
,389,,내게로 오라 하신 주님의,1#,4월 4일,김순세,보통으로
,344,,믿음으로 가리라,3b,4월 4일,한상은,조금빠르게
,392,,주여 어린 사슴이,1#,4월 4일,박재훈,보통으로
,448,,주님 가신 길을 따라,1b,3월 4일,한태근,보통으로
,396,,우리 주님 밤새워,1b,3월 4일,이문승,보통으로
,399,,어린 양들아 두려워 말라,5b,3월 4일,P.Rader,보통으로
,431,,주안에 기쁨있네,3#,3월 4일,백태현,보통으로
,402,,나의 반석 나의 방패,3b,6월 8일,권순호,보통으로
,403,,영원하신 주님의,1b,4월 4일,"S.D.Pesen, Moscow",조금느리게
,409,,나의 기쁨은 사랑의 주님께,3b,6월 8일,전낙표,보통으로
,416,,너희 근심 걱정을,3b,6월 8일,김수정,보통으로
,418,,기쁠 때나 슬플 때나,1b,6월 8일,문성모,보통으로
,367,,인내하게 하소서 우리를,1#,5월 4일,I.Kajakov,조금느리게
,437,,하늘 보좌 떠나서,1#,3월 4일,백경환,보통으로
,443,,아침 햇살 비칠 때,3b,4월 4일,황철익,보통으로
,444,,겟세마네 동산에서,3b,6월 8일,박영근,보통으로
,316,,주여 나의 생명,2#,4월 4일,김보훈,보통으로
,464,,믿음의 새 빛을,1b,3월 4일,이보철,보통으로
,466,,죽기까지 사랑하신 주,1#,4월 4일,J.Weber,보통으로
,467,,높으신 주께서 낮아지심은,1#,6월 8일,전희준,보통으로
,468,,큰 사랑의 생명을,1#,6월 8일,정두영,보통으로
,469,,내 주 하나님,1b,4월 4일,이성수,보통으로
,470,,나의 몸이 상하여,3b,6월 8일,정태봉,조금느리게
,223,,하나님은 우리들의,3b,9월 8일,석종환,보통으로
,473,,괴로움과 고통을,1b,6월 8일,김성훈,보통으로
,474,,의원되신 예수님의,2#,6월 8일,최현경,보통으로
,615,,그 큰일을 행하신,4b,3월 4일,W.H.Doane,조금빠르게
,616,,주를 경배하리,1#,4월 4일,D.Gardner,보통으로
,617,,주님을 찬양합니다,1b,4월 4일,백효죽,보통으로
,618,,나 주님을 사랑합니다,3b,4월 4일,L.Klein,보통으로
,619,,놀라운 그 이름,1b,3월 4일,A.Mieir,보통으로
,620,,여기에 모인 우리,1#,4월 4일,D.Besig,조금빠르게
,621,,찬양하라 내 영혼아,3#,4월 4일,Anonymous,보통으로
,622,,거룩한 밤,0,4월 4일,A.Adam,보통으로
,623,,주님의 시간에,2#,4월 4일,D.Ball,보통으로
,624,,우리 모두 찬양해,1#,4월 4일,Cameroonian Melody,조금빠르게
,625,,거룩 거룩 거룩한 하나님,2b,3월 4일,W.F.Smith,보통으로
,626,,만민들아 다 경배하라,3b,3월 4일,이영조,보통으로
,627,,할렐루야 할렐루야 다 함께,4#,4월 4일,이영조,보통으로
,628,,아멘 아멘 아멘 영광과 존귀를,0,4월 4일,김행기,보통으로
,629,,거룩 거룩 거룩,3b,3월 4일,장순일,보통으로
,632,,주여 주여 우리를,1b,3월 4일,이보철,보통으로
,633,,나의 하나님 받으소서,2b,4월 4일,김성훈,보통으로
,635,,하늘에 계신(주기도문),2b,4월 4일,A.H.Malotte,보통으로
,637,,주님 우리의 마음을 여시어,1b,6월 8일,서장원,보통으로
,639,,주 함께 하소서,1#,4월 4일,백경환,보통으로
,642,,아멘,,,,보통으로
,133,,하나님의 말씀으로,3b,0,"Sanctus, 11c",보통으로
